,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,141,2002-09-07,KCA,SEA,7-7,,99,0.1,1,0,0,1,1,0,0,0.0,3,12,7,1,1,0,1,1,0,0,,3,2,0,0,0,2,0,0,0,0,0,0,0.37,-0.04,0.0,0.00%,-1.16,7t 123 2 out d4,7t 3 out d6,,KCR,20.0,L,2,9
1,2,142,2002-09-08,KCA,SEA,10-10,,0,1.0,1,0,0,1,0,0,0,0.0,5,20,8,1,1,2,2,1,0,0,,0,0,0,0,0,4,1,0,1,0,0,0,2.83,0.157,0.0,0.00%,0.6,10t --- 0 out tie,10t 3 out tie,,KCR,2.0,L,9,16
2,3,144,2002-09-10,KCA,CHW,7-7,,1,0.1,2,2,2,1,0,0,0,10.8,4,17,9,4,0,1,2,1,1,0,,1,1,0,0,0,3,0,1,0,0,0,0,1.76,-0.4,0.0,0.00%,-2.73,7t 1-- 2 out tie,7t 3 out d3,,KCR,30.0,L,4,12
3,4,146,2002-09-12,KCA,CHW,9-GF,,1,1.0,0,0,0,1,0,0,0,6.75,3,13,5,1,0,1,1,0,1,0,,0,0,0,0,0,2,0,0,0,1,0,0,0.12,0.006,0.0,0.00%,0.6,9t --- 0 out d4,9t end d 4,,KCR,1.0,L,1,5
4,5,149,2002-09-15,KCA,DET,9-GF,,2,0.2,0,0,0,0,1,0,0,5.4,2,7,5,2,2,0,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,0.06,0.003,0.0,0.00%,0.68,9b -2- 1 out a6,9b end a 6,,DET,0.0,W,9,3
5,6,154,2002-09-20,KCA,CLE,7-7,,4,0.2,0,0,0,1,0,0,0,4.5,3,19,9,4,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0.56,0.009000000000000001,0.0,0.00%,0.24,7t --- 0 out d3,7t -2- 2 out d3,,KCR,5.0,L,2,6
6,7,156,2002-09-22,KCA,CLE,8-GF,,1,1.1,1,1,1,1,1,1,0,5.06,6,26,13,3,1,1,3,0,1,0,,1,0,0,0,0,5,0,0,0,0,0,0,0.68,-0.046,0.0,0.00%,-0.04,8t -2- 2 out d2,9t end d 2,,KCR,1.818181818181818,L,5,6
7,8,157,2002-09-24,KCA,DET,9-GF,,1,1.0,0,0,0,0,1,0,0,4.26,3,12,8,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.6,9t --- 0 out a15,9t end a15,,KCR,0.0,W,17,2
8,9,158,2002-09-25,KCA,DET,11-GF(12),L(0-1),0,2.0,3,1,1,1,1,0,0,4.32,10,36,24,5,5,4,4,3,0,0,,0,0,1,0,0,8,0,0,0,0,1,0,2.22,-0.11,0.0,0.00%,0.2,11t --- 0 out tie,12t end d 1,,KCR,2.0,L,6,7
9,10,162,2002-09-29,KCA,CLE,8-GF(8),,3,1.0,0,0,0,1,2,0,0,3.86,4,18,8,2,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.07,0.003,0.0,0.00%,0.53,8b --- 0 out d4,8b end d 4,,CLE,1.0,L,3,7
10,11,23,2003-04-29,KCA,BOS,8-GF(8),,99,1.0,1,0,0,0,0,0,0,0.0,4,15,10,3,1,1,3,1,1,0,,2,1,0,0,0,4,0,0,0,0,0,0,0.12,-0.001,0.13,0.00%,0.59,8b 12- 0 out d4,8b end d 5,,BOS,1.0,L,2,7
